classification,path,kind,unit_count,bytes_at_snapshot,purpose,referenced_by,recommended_action,precondition
SAFE_DELETE,.venv/,directory,1,5778488083,local Python environment,active tools and possibly live generation,remove only after reproducible environment lock and final process exit,successful clean environment recreation
SAFE_DELETE,.ruff_cache/,directory,1,9529,re-creatable lint cache,none found,remove,final run exit
SAFE_DELETE,first-party **/__pycache__/,directory_group,11,2567535,re-creatable bytecode,Python runtime only,remove exact listed roots,final run exit
SAFE_DELETE,.deepeval/,directory,1,0,empty local tool state,none found,remove,final run exit
SAFE_DELETE,outputs/.test_scratch_adaptive_k/ + outputs/test_runs/,directory_group,2,0,empty test output roots,none found,remove,final run exit
SAFE_DELETE,ACL-blocked pytest scratch roots listed in INVENTORY.md,directory_group,12,unknown,test temporary state,no scientific reference found,inspect ownership then remove exact roots only,final run exit and path verification
SAFE_ARCHIVE,checkpoints/development/,directory,1,781219644,development and submission-era checkpoints,tests scripts and artifacts/manifest.json,index manifests then move to development archive,manifest classification and path updates
SAFE_ARCHIVE,outputs/development_runs/ excluding four question_candidate_cross_encoder_v1 roots,directory,1,90277981,accepted intermediate and rejected DEV experiments,many diagnostic scripts,archive by ACCEPTED_INTERMEDIATE REJECTED SUPERSEDED status,status index and path updates
SAFE_ARCHIVE,outputs/development_diagnostics/,directory,1,73900581,bottleneck and reader diagnostics,diagnostic reports and scripts,archive as thesis diagnostics,manifest and immutable-copy check
SAFE_ARCHIVE,outputs/diagnostics/,directory,1,27395576,rejected and exploratory causal diagnostics,associated evaluation scripts,archive by verdict,manifest and path updates
SAFE_ARCHIVE,outputs/final_model_development/,directory,1,9020751,rejected static-hard development,static-hard scripts,archive as REJECTED,manifest and path updates
SAFE_ARCHIVE,outputs/quarantine/,directory,1,20047392,aborted run evidence,quarantine manifest,archive as ABORTED and non-evidence,preserve quarantine metadata
SAFE_ARCHIVE,26 diagnostic/rejected source files listed in ARCHIVE_CANDIDATES.md,file_group,26,505935,one-off diagnostic and superseded mechanisms,development outputs and tests,move together with status index,import and reference rewrite
KEEP_FINAL,data/production_generator_d_v1/,directory,1,16906792497,frozen Generator D corpus,21+ current source and launcher references,keep immutable and publish via external manifest,verify 66-entry lineage
KEEP_FINAL,experiments/cross_encoder_reranking_dev_v1/ excluding __pycache__,directory,1,47607,cross-encoder DEV protocol code and launchers,final retrieval scripts,keep canonical experiment package,commit exact allowlist
KEEP_FINAL,outputs/final_results/question_candidate_cross_encoder_v1_adaptive_test_a40/,directory,1,15587433,frozen final cross-encoder TEST retrieval,manuscript export and final generation,keep immutable,manifest recheck
KEEP_FINAL,outputs/final_results/manuscript_retrieval_results/,directory,1,46907,canonical harmonized manuscript retrieval tables,manuscript and export script,keep immutable,manifest recheck
KEEP_FINAL,outputs/final_results/final_manuscript_test_end_to_end/,directory,1,growing,canonical final answer generation,final generation runner,protect whole directory without endorsing predictions,complete generation evaluation audit and freeze
KEEP_FINAL,outputs/development_runs/question_candidate_cross_encoder_v1/,directory,1,357739103,frozen DEV cross-encoder model and outputs,cross-encoder TEST runner,keep as thesis checkpoint bundle,manifest and release index
KEEP_FINAL,outputs/development_runs/question_candidate_cross_encoder_v1_adaptive_input/,directory,1,17232753,frozen adaptive input,adaptive fitting and TEST retrieval,keep immutable,manifest verification
KEEP_FINAL,outputs/development_runs/question_candidate_cross_encoder_v1_cross_encoder_adaptive_k/,directory,1,6774977,cross-encoder adaptive policy,TEST retrieval,keep immutable,manifest verification
KEEP_FINAL,outputs/development_runs/question_candidate_cross_encoder_v1_final_sageqa_adaptive_k/,directory,1,6838227,final SAGE-QA adaptive policy,TEST retrieval,keep immutable,manifest verification
KEEP_FINAL,final cross-encoder retrieval/export/generation entrypoints listed in KEEP_FINAL.md,file_group,7,not_aggregated,canonical orchestration,launchers tests and manifests,keep and document as defaults,commit exact hashes after freeze
