path,bytes,file_count,classification,note
.,41910391680,62489,NEEDS_REVIEW,accessible lower-bound snapshot; live output was growing
data/,27703723438,181,MIXED,canonical frozen corpus plus original and raw data
data/production_generator_d_v1/,16906792497,66,KEEP_FINAL,generator_d_frozen_v1
data/HotpotQA/,3463148993,8,KEEP_LEGACY,original processed data
data/2WikiMultiHopQA/,2858237107,8,KEEP_LEGACY,original processed data
data/raw/,1948468991,46,KEEP_LEGACY,source archives and provenance pending license review
data/FamilyOWL_1hop/,578390546,7,KEEP_LEGACY,original processed data
data/owl2bench_2hop/,488222263,6,KEEP_LEGACY,original processed data
data/FamilyOWL_2hop/,471737319,6,KEEP_LEGACY,original processed data
data/owl2bench_1hop/,351058862,6,KEEP_LEGACY,original processed data
data/pizza_250_2hop/,219484124,6,KEEP_LEGACY,original processed data
data/pizza_100_2hop/,154685420,6,KEEP_LEGACY,original processed data
data/pizza_250_1hop/,149313230,6,KEEP_LEGACY,original processed data
data/pizza_100_1hop/,114103986,6,KEEP_LEGACY,original processed data
.venv/,5778488083,57074,SAFE_DELETE,conditional on environment capture and process exit
.git/,2620334539,2843,NEEDS_REVIEW,Git-native maintenance only
.git/objects/,2620233531,2762,NEEDS_REVIEW,never delete manually
third_party/,1919105185,524,MIXED,source and generated payload
third_party/GNN-RAG/,1900266512,496,MIXED,preserve source; review generated data/checkpoints/results
third_party/GNN-RAG/gnn/,1310692205,246,MIXED,source plus generated data/checkpoints
third_party/GNN-RAG/gnn/data/,940426960,108,NEEDS_REVIEW,generated/duplicated baseline inputs
third_party/GNN-RAG/llm/,589463603,246,MIXED,source plus generated results
third_party/GNN-RAG/llm/results/,354863629,167,NEEDS_REVIEW,generated historical outputs
checkpoints/,1874943938,417,MIXED,final historical and development models
checkpoints/development/,781219644,124,SAFE_ARCHIVE,archive after manifest/status indexing
checkpoints/production_generator_d_v1_gnn_rag_clean/,367179545,193,KEEP_LEGACY,clean baseline needed by manuscript
checkpoints/production_generator_d_v1/,181578675,30,NEEDS_REVIEW,referenced pre-hard-pair checkpoints
checkpoints/production_generator_d_v2_hard_pair/,181577929,30,KEEP_LEGACY,frozen graph ablation
checkpoints/production_generator_d_static_hard_v1/,181075730,10,NEEDS_REVIEW,rejected mechanism with scientific value
checkpoints/gnn_subgraph_ranker_*_full/,182312415,30,KEEP_LEGACY,ten original-paper roots combined
outputs/,approximately_1807979190,922,MIXED,point-in-time because final predictions were growing
outputs/final_results/,approximately_914590811,212,MIXED,frozen final historical and in-progress artifacts
outputs/final_results/production_generator_d_v1_test_baselines/,559972632,124,KEEP_LEGACY,clean baselines plus failed attempts
outputs/final_results/final_manuscript_baselines_test_end_to_end/,195347127,9,KEEP_LEGACY,frozen baseline answer bundle
outputs/final_results/production_generator_d_v2_hard_pair_test_end_to_end/,55773404,7,KEEP_LEGACY,frozen graph-ablation answer bundle
outputs/final_results/final_manuscript_test_end_to_end/,approximately_27571415,4,KEEP_FINAL,in progress and protected
outputs/final_results/production_generator_d_v1_answer_generation/,22108978,43,KEEP_LEGACY,superseded clean V1 answers
outputs/final_results/production_generator_d_v1_test_retrieval/,19131509,5,KEEP_LEGACY,superseded clean V1 retrieval
outputs/final_results/production_generator_d_v2_hard_pair_test_retrieval/,19099915,5,KEEP_LEGACY,frozen graph-ablation retrieval
