path,type,protocol,status,bytes,git_state,evidence_profile,manifest_state,recommendation,destination,blocker,test_action
checkpoints/development/2wiki_hybrid_feasibility_v1_seed42,checkpoint,development,EXPLORATORY,20018631,ignored_untracked,P01,none,ARCHIVE_INTERNAL,archive/development/exploratory/checkpoints/2wiki_hybrid_feasibility_v1_seed42,,
checkpoints/development/debug_pizza_100_2hop,checkpoint,development,INCOMPLETE,0,ignored_untracked,P02,none,DELETE_LATER,,, 
checkpoints/development/gnn_familyowl_1hop_canonical_headlr,checkpoint,development,EXPLORATORY,18828637,ignored_untracked,P01,none,ARCHIVE_INTERNAL,archive/development/exploratory/checkpoints/gnn_familyowl_1hop_canonical_headlr,,
checkpoints/development/gnn_familyowl_1hop_canonical_v1,checkpoint,development,SUPERSEDED,18829140,ignored_untracked,P01,none,ARCHIVE_INTERNAL,archive/superseded/checkpoints/gnn_familyowl_1hop_canonical_v1,,
checkpoints/development/gnn_familyowl_1hop_exact_contrastive,checkpoint,development,REJECTED,18828504,ignored_untracked,P01,none,ARCHIVE_INTERNAL,archive/development/rejected/checkpoints/gnn_familyowl_1hop_exact_contrastive,,
checkpoints/development/gnn_familyowl_1hop_exact_proof_features,checkpoint,development,REJECTED,18820779,ignored_untracked,P01,none,ARCHIVE_INTERNAL,archive/development/rejected/checkpoints/gnn_familyowl_1hop_exact_proof_features,,
checkpoints/development/gnn_familyowl_1hop_nl_only_exact,checkpoint,development,REJECTED,18835377,ignored_untracked,P01,none,ARCHIVE_INTERNAL,archive/development/rejected/checkpoints/gnn_familyowl_1hop_nl_only_exact,,
checkpoints/development/gnn_familyowl_1hop_smoke,checkpoint,development,EXPLORATORY,18791182,ignored_untracked,P01,none,ARCHIVE_INTERNAL,archive/development/exploratory/checkpoints/gnn_familyowl_1hop_smoke,,
checkpoints/development/gnn_rag_walkthrough,checkpoint,development,EXPLORATORY,7420943,ignored_untracked,P01,none,ARCHIVE_INTERNAL,archive/development/exploratory/checkpoints/gnn_rag_walkthrough,,
checkpoints/development/gnn_rebuilt,checkpoint,thesis_superseded,SUPERSEDED,469286039,ignored_untracked,P03,partial_external,NEEDS_REVIEW,,BLOCKED_BY_FROZEN_REFERENCE,
checkpoints/development/pre_run_production_sanity_20260829,checkpoint,development,INCOMPLETE,18106101,ignored_untracked,P01,none,ARCHIVE_INTERNAL,archive/aborted/checkpoints/pre_run_production_sanity_20260829,,
checkpoints/development/production_generator_d_v1_listwise_corrected_dev,checkpoint,development,INCOMPLETE,18179350,ignored_untracked,P01,none,ARCHIVE_INTERNAL,archive/aborted/checkpoints/production_generator_d_v1_listwise_corrected_dev,,
checkpoints/development/smoke_family_hybrid,checkpoint,development,EXPLORATORY,19428971,ignored_untracked,P01,none,ARCHIVE_INTERNAL,archive/development/exploratory/checkpoints/smoke_family_hybrid,,
checkpoints/development/workbench,checkpoint,development,EXPLORATORY,115845990,ignored_untracked,P04,none,NEEDS_REVIEW,,heterogeneous_subruns,
outputs/development_runs/current_beam_union_v1,output,development,REJECTED,389083,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/development/rejected/current_beam_union_v1,,
outputs/development_runs/current_clean_candidate_coverability_v1,diagnostic,development,COMPLETE,543272,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/development/diagnostics/current_clean_candidate_coverability_v1,,
outputs/development_runs/full_context_progressive_beam_v1,output,thesis_baseline,SUPERSEDED,1841366,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/superseded/full_context_progressive_beam_v1,,
outputs/development_runs/generator_d_pair_supervision_v1,diagnostic,development,COMPLETE,199410,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/development/diagnostics/generator_d_pair_supervision_v1,,
outputs/development_runs/ontology_atomic_pool_graph_expansion_v1,output,development,REJECTED,88473,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/development/rejected/ontology_atomic_pool_graph_expansion_v1,,
outputs/development_runs/ontology_semantic_sufficiency_v1,diagnostic,development,COMPLETE,595244,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/development/diagnostics/ontology_semantic_sufficiency_v1,,
outputs/development_runs/production_generator_d_v1_adaptive_k,output,thesis_superseded,FROZEN,6971368,ignored_untracked,P06,complete_hash_manifest,KEEP_VISIBLE,,BLOCKED_BY_FROZEN_REFERENCE,
outputs/development_runs/production_generator_d_v1_gnn_adaptive_k,output,thesis_superseded,FROZEN,6971503,ignored_untracked,P06,complete_hash_manifest,KEEP_VISIBLE,,BLOCKED_BY_FROZEN_REFERENCE,
outputs/development_runs/production_generator_d_v1_k_sensitivity,output,thesis_superseded,FROZEN,19243907,ignored_untracked,P06,lineage_metadata,KEEP_VISIBLE,,frozen_lineage_consumer,
outputs/development_runs/production_generator_d_v1_listwise_corrected_dev,log,development,INCOMPLETE,2021496,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/aborted/production_generator_d_v1_listwise_corrected_dev,,
outputs/development_runs/protected_query_anchor_comparison_v1,output,development,REJECTED,6216915,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/development/rejected/protected_query_anchor_comparison_v1,,
outputs/development_runs/query_local_candidate_closure_v1,output,development,REJECTED,6560187,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/development/rejected/query_local_candidate_closure_v1,,
outputs/development_runs/size_balanced_structural_composer_v1,output,development,REJECTED,16571,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/development/rejected/size_balanced_structural_composer_v1,,
outputs/development_runs/unified_evidence_graph_comparison_v1,output,development,REJECTED,3991685,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/development/rejected/unified_evidence_graph_comparison_v1,,
outputs/development_runs/unified_ontology_reachability_diagnostic_v1,diagnostic,development,COMPLETE,324209,ignored_untracked,P05,none,ARCHIVE_INTERNAL,archive/development/diagnostics/unified_ontology_reachability_diagnostic_v1,,
outputs/development_diagnostics/final_bottleneck_analysis,diagnostic,development,COMPLETE,50115467,ignored_untracked,P07,complete_hash_manifest,ARCHIVE_INTERNAL,archive/development/diagnostics/final_bottleneck_analysis,,
outputs/development_diagnostics/final_bottleneck_reader_diagnostic,diagnostic,development,FROZEN,23477324,ignored_untracked,P07,complete_hash_manifest,ARCHIVE_INTERNAL,archive/development/diagnostics/final_bottleneck_reader_diagnostic,,
outputs/development_diagnostics/final_old_vs_cross_encoder_analysis,diagnostic,thesis_final,COMPLETE,222603,ignored_untracked,P08,none,KEEP_VISIBLE,,upstream_of_frozen_export,
outputs/diagnostics/cross_repo_methodology_transfer_audit,diagnostic,development,REJECTED,51049,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/rejected/cross_repo_methodology_transfer_audit,,
outputs/diagnostics/production_generator_d_v1_causal_retrieval_diagnosis,diagnostic,development,COMPLETE,8309268,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/diagnostics/production_generator_d_v1_causal_retrieval_diagnosis,,
outputs/diagnostics/production_generator_d_v1_complementarity_dev,diagnostic,development,REJECTED,117194,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/rejected/production_generator_d_v1_complementarity_dev,,
outputs/diagnostics/production_generator_d_v1_cross_branch_completion_dev,diagnostic,development,REJECTED,912056,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/rejected/production_generator_d_v1_cross_branch_completion_dev,,
outputs/diagnostics/production_generator_d_v1_disagreement_union_dev,diagnostic,development,REJECTED,33000,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/rejected/production_generator_d_v1_disagreement_union_dev,,
outputs/diagnostics/production_generator_d_v1_gnn_representation_diagnosis,diagnostic,development,COMPLETE,3117579,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/diagnostics/production_generator_d_v1_gnn_representation_diagnosis,,
outputs/diagnostics/production_generator_d_v1_hard_pair_reservation_dev,diagnostic,development,INCOMPLETE,0,ignored_untracked,P02,none,DELETE_LATER,,, 
outputs/diagnostics/production_generator_d_v1_listwise_corrected_dev,diagnostic,development,INCOMPLETE,16284,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/aborted/production_generator_d_v1_listwise_corrected_dev_diagnostic,,
outputs/diagnostics/production_generator_d_v1_listwise_dev,diagnostic,development,ABORTED,9675,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/aborted/production_generator_d_v1_listwise_dev,,
outputs/diagnostics/production_generator_d_v1_mechanism_decision,diagnostic,development,COMPLETE,1885268,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/accepted_intermediate/production_generator_d_v1_mechanism_decision,,
outputs/diagnostics/production_generator_d_v1_ontology_proof_gate_dev,diagnostic,development,REJECTED,33878,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/rejected/production_generator_d_v1_ontology_proof_gate_dev,,
outputs/diagnostics/production_generator_d_v1_retrieval_failure_audit,diagnostic,development,COMPLETE,181084,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/diagnostics/production_generator_d_v1_retrieval_failure_audit,,
outputs/diagnostics/production_generator_d_v1_rrf_dev,diagnostic,development,REJECTED,3540351,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/rejected/production_generator_d_v1_rrf_dev,,
outputs/diagnostics/production_generator_d_v1_symbolic_mechanism_dev,diagnostic,development,REJECTED,8764169,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/rejected/production_generator_d_v1_symbolic_mechanism_dev,,
outputs/diagnostics/production_generator_d_v1_symbolic_validity_diagnosis,diagnostic,development,REJECTED,403247,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/rejected/production_generator_d_v1_symbolic_validity_diagnosis,,
outputs/diagnostics/production_generator_d_v1_training_signal_audit,diagnostic,development,COMPLETE,21474,ignored_untracked,P09,none,ARCHIVE_INTERNAL,archive/development/accepted_intermediate/production_generator_d_v1_training_signal_audit,,
outputs/final_model_development/production_generator_d_static_hard_v1,output,development,COMPLETE,21342,ignored_untracked,P10,protocol_freeze,ARCHIVE_INTERNAL,archive/development/rejected/production_generator_d_static_hard_v1,,
outputs/final_model_development/production_generator_d_static_hard_v1_dev,output,development,REJECTED,8984437,ignored_untracked,P10,complete_hash_manifest,ARCHIVE_INTERNAL,archive/development/rejected/production_generator_d_static_hard_v1_dev,,
outputs/final_model_development/production_generator_d_static_hard_v1_gate,diagnostic,development,COMPLETE,8645,ignored_untracked,P10,invariance_gate,ARCHIVE_INTERNAL,archive/development/rejected/production_generator_d_static_hard_v1_gate,,
outputs/final_model_development/production_generator_d_v1_hard_negative_refinement,diagnostic,development,ABORTED,6327,ignored_untracked,P10,protocol_manifest,ARCHIVE_INTERNAL,archive/aborted/production_generator_d_v1_hard_negative_refinement,,
outputs/quarantine/aborted_20260909_sageqa_v2_hard_pair,output,development,ABORTED,20047392,ignored_untracked,P11,quarantine_manifest,ARCHIVE_INTERNAL,archive/aborted/aborted_20260909_sageqa_v2_hard_pair,,
outputs/final_results/production_generator_d_v1_test_baselines/gnn_rag_failed_clean_pre_prediction_20260830T131316,output,thesis_baseline,FAILED,37222195,ignored_untracked,P12,none,NEEDS_REVIEW,,baseline_failure_payload_policy,
outputs/final_results/production_generator_d_v1_test_baselines/gnn_rag_incomplete_legacy_20260830T120036,output,thesis_baseline,INCOMPLETE,66795069,ignored_untracked,P13,none,NEEDS_REVIEW,,baseline_failure_payload_policy,
evaluation/audit_corrected_listwise_loss_scale.py,source,development,COMPLETE,7253,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/audit_corrected_listwise_loss_scale.py,,
evaluation/audit_hard_pair_reservation.py,source,thesis_graph_ablation,FROZEN,9663,tracked,S02,git_blob,KEEP_VISIBLE,,imported_by_active_graph_ablation_runner,
evaluation/audit_static_hard_negative_refinement.py,source,development,COMPLETE,4508,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/audit_static_hard_negative_refinement.py,,
evaluation/compare_current_beam_union.py,source,development,COMPLETE,13916,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/compare_current_beam_union.py,,
evaluation/compare_full_context_progressive_beam.py,source,thesis_baseline,COMPLETE,26452,tracked,S03,git_blob,KEEP_VISIBLE,,STANDARD_test_import,
evaluation/compare_ontology_atomic_pool_builders.py,source,development,COMPLETE,12385,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/compare_ontology_atomic_pool_builders.py,,
evaluation/compare_query_local_candidate_closure.py,source,development,COMPLETE,21596,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/compare_query_local_candidate_closure.py,,
evaluation/compare_size_balanced_candidate_composer.py,source,development,COMPLETE,22971,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/compare_size_balanced_candidate_composer.py,,
evaluation/compare_unified_evidence_graph_candidates.py,source,development,COMPLETE,30353,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/compare_unified_evidence_graph_candidates.py,,
evaluation/diagnose_current_clean_candidate_coverability.py,source,development,COMPLETE,14342,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/diagnostics/source/evaluation/diagnose_current_clean_candidate_coverability.py,,
evaluation/diagnose_generator_d_pair_supervision.py,source,development,COMPLETE,15519,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/diagnostics/source/evaluation/diagnose_generator_d_pair_supervision.py,,
evaluation/diagnose_production_generator_d_causal_retrieval.py,source,development,COMPLETE,39010,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/diagnostics/source/evaluation/diagnose_production_generator_d_causal_retrieval.py,,
evaluation/diagnose_symbolic_mechanism_dev.py,source,development,COMPLETE,15041,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/diagnose_symbolic_mechanism_dev.py,,
evaluation/diagnose_symbolic_validity_dev.py,source,development,COMPLETE,22197,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/diagnose_symbolic_validity_dev.py,,
evaluation/diagnose_unified_ontology_reachability.py,source,development,COMPLETE,26782,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/diagnostics/source/evaluation/diagnose_unified_ontology_reachability.py,,
evaluation/evaluate_disagreement_union_dev.py,source,development,COMPLETE,20672,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/evaluate_disagreement_union_dev.py,,
evaluation/evaluate_generator_d_cross_branch_completion_dev.py,source,development,COMPLETE,35867,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/evaluate_generator_d_cross_branch_completion_dev.py,,
evaluation/evaluate_ontology_proof_gate_dev.py,source,development,COMPLETE,27259,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/evaluate_ontology_proof_gate_dev.py,,
evaluation/evaluate_production_dev_complementarity.py,source,development,COMPLETE,36003,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/evaluate_production_dev_complementarity.py,,
evaluation/evaluate_rrf_reranker_dev.py,source,development,COMPLETE,29624,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/evaluate_rrf_reranker_dev.py,,
evaluation/evaluate_static_hard_refinement_dev.py,source,development,COMPLETE,11082,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/evaluate_static_hard_refinement_dev.py,,
evaluation/finalize_static_hard_refinement_dev.py,source,development,COMPLETE,7865,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/finalize_static_hard_refinement_dev.py,,
evaluation/score_production_generator_d_causal_pairs.py,source,development,COMPLETE,14130,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/diagnostics/source/evaluation/score_production_generator_d_causal_pairs.py,,
evaluation/summarize_corrected_listwise_dev.py,source,development,COMPLETE,17039,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/evaluation/summarize_corrected_listwise_dev.py,,
experiments/run_corrected_listwise_dev_grid.py,source,development,INCOMPLETE,6042,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/aborted/source/experiments/run_corrected_listwise_dev_grid.py,,
training/run_static_hard_negative_refinement.py,source,development,COMPLETE,18364,tracked,S01,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/source/training/run_static_hard_negative_refinement.py,,
models/dataset_adapters.py,source,thesis_superseded,SUPERSEDED,21587,ignored_untracked,S05,none,KEEP_VISIBLE,,shared_by_historical_symbolic_sources,
models/familyowl_atomic_selector_v2.py,source,development,REJECTED,4077,ignored_untracked,S04,none,ARCHIVE_INTERNAL,archive/development/rejected/source/models/familyowl_atomic_selector_v2.py,,
models/familyowl_compiler_v2.py,source,development,REJECTED,6959,ignored_untracked,S04,none,ARCHIVE_INTERNAL,archive/development/rejected/source/models/familyowl_compiler_v2.py,,
models/reasoning_ir.py,source,thesis_superseded,SUPERSEDED,3895,ignored_untracked,S05,none,KEEP_VISIBLE,,shared_by_historical_symbolic_sources,
models/symbolic_executor.py,source,thesis_superseded,SUPERSEDED,18794,ignored_untracked,S05,none,KEEP_VISIBLE,,historical_test_and_reader_dependency,
models/twowiki_sentence_compiler_v1.py,source,thesis_superseded,SUPERSEDED,17769,ignored_untracked,S05,none,KEEP_VISIBLE,,frozen_config_and_test_dependency,
training/run_gnn_rag_walkthrough.py,source,development,EXPLORATORY,7311,ignored_untracked,S06,none,ARCHIVE_INTERNAL,archive/development/exploratory/source/training/run_gnn_rag_walkthrough.py,,
experiments/2wiki_a0_a3_heldout.json,config,thesis_superseded,FROZEN,2778,ignored_untracked,C02,none,KEEP_VISIBLE,,historical_protocol,
experiments/2wiki_sentence_compiler_v1_development.json,config,development,EXPLORATORY,1629,ignored_untracked,C01,none,ARCHIVE_INTERNAL,archive/development/exploratory/config/2wiki_sentence_compiler_v1_development.json,,
experiments/2wiki_sentence_compiler_v1_preregistered.json,config,development,FROZEN,6636,ignored_untracked,C01,none,ARCHIVE_INTERNAL,archive/development/accepted_intermediate/config/2wiki_sentence_compiler_v1_preregistered.json,,
experiments/2wiki_sentence_compiler_v1_reader_test.json,config,development,COMPLETE,1903,ignored_untracked,C01,none,ARCHIVE_INTERNAL,archive/development/diagnostics/config/2wiki_sentence_compiler_v1_reader_test.json,,
experiments/2wiki_sentence_compiler_v1_test.json,config,thesis_superseded,FROZEN,2559,ignored_untracked,C02,none,KEEP_VISIBLE,,historical_protocol,
experiments/2wiki_sentence_compiler_v1_test_statistics.json,config,thesis_superseded,FROZEN,1412,ignored_untracked,C02,none,KEEP_VISIBLE,,historical_protocol,
experiments/familyowl_2hop_candidate_construction_audit_dev.json,config,development,COMPLETE,1071,ignored_untracked,C01,none,ARCHIVE_INTERNAL,archive/development/diagnostics/config/familyowl_2hop_candidate_construction_audit_dev.json,,
experiments/familyowl_a3_reader_test.json,config,thesis_superseded,FROZEN,984,ignored_untracked,C02,none,KEEP_VISIBLE,,historical_protocol,
experiments/familyowl_a3_symbolic_reranking_frozen.json,config,thesis_superseded,FROZEN,3444,ignored_untracked,C02,none,KEEP_VISIBLE,,historical_protocol,
experiments/familyowl_a4_proof_projection_2hop_confirmatory.json,config,development,COMPLETE,4743,ignored_untracked,C01,none,ARCHIVE_INTERNAL,archive/development/diagnostics/config/familyowl_a4_proof_projection_2hop_confirmatory.json,,
experiments/familyowl_a4_proof_projection_frozen.json,config,development,FROZEN,2252,ignored_untracked,C01,none,ARCHIVE_INTERNAL,archive/development/accepted_intermediate/config/familyowl_a4_proof_projection_frozen.json,,
experiments/familyowl_a4_proof_projection_test.json,config,development,COMPLETE,4113,ignored_untracked,C01,none,ARCHIVE_INTERNAL,archive/development/diagnostics/config/familyowl_a4_proof_projection_test.json,,
experiments/familyowl_architecture_extensions_dev_preregistered.json,config,development,REJECTED,2181,ignored_untracked,C01,none,ARCHIVE_INTERNAL,archive/development/rejected/config/familyowl_architecture_extensions_dev_preregistered.json,,
experiments/final_family_architecture_walkthrough.json,config,development,SUPERSEDED,3840,ignored_untracked,C01,none,ARCHIVE_INTERNAL,archive/superseded/config/final_family_architecture_walkthrough.json,,
experiments/sageqa_final_architecture_frozen.json,config,thesis_superseded,FROZEN,3341,ignored_untracked,C02,none,KEEP_VISIBLE,,artifacts_manifest_architecture_identity,
notebooks/experiment3_symbolic_reranking.ipynb,source,development,EXPLORATORY,34743,ignored_untracked,N01,none,ARCHIVE_INTERNAL,archive/development/exploratory/notebooks/experiment3_symbolic_reranking.ipynb,,
tests/test_evaluate_owl_qa_predictions.py,test,paper_original,COMPLETE,579,ignored_untracked,T01,none,KEEP_VISIBLE,,paper_reproduction,KEEP_AND_RESTORE_DEPENDENCY
